Email name,Subject,Audience,Date sent,Sends,Delivered,Opens,Clicks,Unsubscribes
2026-03-15 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-15,991,972,296,50,1
2026-03-15 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-15,1076,1065,318,47,1
2026-03-16 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-16,1010,999,312,53,1
2026-03-16 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-16,1164,1138,309,52,1
2026-03-16 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-16,412,403,179,33,0
2026-03-17 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-17,1556,1535,507,83,1
2026-03-17 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-17,1190,1163,360,58,1
2026-03-18 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-18,1568,1535,524,88,1
2026-03-18 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-18,1015,991,303,52,1
2026-03-18 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-18,418,409,182,34,0
2026-03-19 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-19,1570,1540,538,90,1
2026-03-19 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-19,436,427,192,32,0
2026-03-20 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-20,1149,1127,370,62,1
2026-03-20 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-20,400,390,165,33,0
2026-03-21 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-21,1997,1962,683,106,2
2026-03-21 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-21,1214,1193,380,59,1
2026-03-23 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-23,993,978,300,52,1
2026-03-24 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-03-24,10835,10564,2004,264,17
2026-03-24 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-24,1876,1846,614,101,2
2026-03-24 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-24,372,366,155,29,0
2026-03-25 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-25,1835,1808,626,108,2
2026-03-25 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-25,728,715,251,47,1
2026-03-25 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-25,931,912,297,45,1
2026-03-26 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-26,1117,1105,316,52,1
2026-03-26 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-26,453,444,191,35,0
2026-03-27 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-27,1186,1164,342,51,1
2026-03-28 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-28,2020,1976,661,110,2
2026-03-28 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-28,941,927,296,47,1
2026-03-28 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-28,383,376,173,29,0
2026-03-29 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-03-29,12057,11756,2197,311,19
2026-03-29 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-29,795,778,270,53,1
2026-03-29 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-29,943,924,307,47,1
2026-03-30 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-30,734,717,246,48,1
2026-03-31 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-31,832,822,303,53,1
2026-03-31 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-31,1179,1151,389,62,1
2026-03-31 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-31,1229,1204,343,54,1
2026-03-31 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-31,490,482,212,39,0
2026-04-01 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-01,1059,1047,296,47,1
2026-04-01 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-01,392,382,160,30,0
2026-04-03 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-04-03,1725,1703,557,99,2
2026-04-03 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-04-03,775,762,275,51,1
2026-04-03 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-04-03,1018,1000,333,53,1
2026-04-03 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-03,1165,1141,324,54,1
2026-04-04 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-04-04,2093,2052,698,115,2
2026-04-04 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-04-04,1134,1118,374,57,1
2026-04-04 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-04,456,447,206,37,0
2026-04-05 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-04-05,1597,1557,508,93,1
2026-04-05 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-04-05,771,751,264,51,1
2026-04-05 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-05,419,415,180,35,0
2026-04-07 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-04-07,2095,2050,677,124,2
2026-04-07 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-04-07,711,701,245,49,1
2026-04-07 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-07,1383,1355,404,65,1
2026-04-08 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-04-08,1043,1024,330,56,1
2026-04-08 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-08,1353,1333,388,59,1
2026-04-10 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-04-10,2096,2061,685,117,2
2026-04-10 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-10,444,439,193,35,0
2026-04-11 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-04-11,2001,1953,647,116,2
2026-04-11 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-11,434,428,196,34,0
2026-04-12 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-04-12,10005,9755,1960,248,16
2026-04-13 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-04-13,1224,1196,402,65,1
2026-04-13 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-13,1240,1214,351,57,1
2026-04-14 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-04-14,686,669,242,48,1
2026-04-14 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-04-14,1109,1092,344,59,1
2026-04-15 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-04-15,810,793,292,55,1
2026-04-15 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-15,427,417,183,36,0
2026-04-16 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-16,1189,1160,334,57,1
2026-04-17 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-04-17,721,705,261,46,1
2026-04-18 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-04-18,819,798,284,51,1
2026-04-18 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-18,1106,1080,312,47,1
2026-04-19 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-19,1244,1214,344,59,1
2026-04-19 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-19,449,440,199,37,0
2026-04-20 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-04-20,2107,2085,728,117,2
2026-04-20 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-20,1159,1132,324,50,1
2026-04-20 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-20,432,422,181,36,0
2026-04-22 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-04-22,1253,1231,417,67,1
2026-04-22 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-22,1218,1196,361,54,1
2026-04-22 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-22,465,460,204,37,0
2026-04-24 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-04-24,1635,1598,551,93,1
2026-04-24 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-04-24,802,791,283,54,1
2026-04-24 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-24,423,414,179,34,0
2026-04-26 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-04-26,840,825,300,56,1
2026-04-26 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-26,521,509,224,41,0
2026-04-27 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-04-27,824,811,284,58,1
2026-04-27 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-27,400,390,166,31,0
2026-04-28 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-28,1279,1251,381,61,1
2026-04-29 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-04-29,1326,1295,391,63,1
2026-04-30 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-04-30,1228,1202,413,68,1
2026-04-30 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-04-30,514,505,223,40,0
2026-05-01 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-05-01,2133,2086,728,126,2
2026-05-01 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-05-01,703,692,240,45,1
2026-05-01 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-05-01,1058,1047,350,58,1
2026-05-01 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-05-01,1066,1053,317,52,1
2026-05-02 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-05-02,1880,1836,639,109,2
2026-05-02 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-05-02,857,844,303,61,1
2026-05-02 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-05-02,1046,1025,320,55,1
2026-05-02 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-05-02,435,430,200,35,0
2026-05-03 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-05-03,1170,1140,339,55,1
2026-05-04 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-05-04,445,438,191,39,0
2026-05-05 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-05-05,813,793,279,55,1
2026-05-05 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-05-05,409,404,173,33,0
2026-05-06 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-05-06,837,825,305,60,1
2026-05-06 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-05-06,474,462,211,40,0
2026-05-08 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-05-08,769,760,268,53,1
2026-05-08 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-05-08,1035,1019,323,53,1
2026-05-09 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-05-09,748,740,266,49,1
2026-05-10 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-05-10,1134,1120,377,62,1
2026-05-10 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-05-10,1395,1372,416,64,1
2026-05-11 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-05-11,1236,1222,354,61,1
2026-05-11 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-05-11,481,471,205,38,0
2026-05-12 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-05-12,1852,1831,655,113,2
2026-05-14 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-05-14,1146,1119,341,52,1
