# ----------------------------------------
# Google Analytics 4 - Landing page report
# Start date: 20250401
# End date: 20260430
# ----------------------------------------
Date,Landing page,Sessions,Engaged sessions,Bounce rate,Conversions,Total revenue
20250613,/lp/skincare-routine-quiz,1361,565,0.5852,42,2512.91
20250613,/products/vitamin-c-serum,854,364,0.5740,32,1918.31
20250613,/collections/bestsellers,547,200,0.6352,13,866.87
20250613,/,445,127,0.7145,6,372.97
20250614,/lp/free-serum-sample,2271,822,0.6381,75,5020.84
20250614,/lp/spf-bundle-20-off,2012,920,0.5429,103,6425.70
20250614,/lp/skincare-routine-quiz,1226,525,0.5721,37,2418.64
20250614,/products/vitamin-c-serum,851,367,0.5683,32,2043.00
20250614,/collections/bestsellers,582,210,0.6388,14,927.25
20250614,/,464,132,0.7145,6,398.67
20250615,/lp/free-serum-sample,1986,712,0.6414,65,4388.27
20250615,/lp/spf-bundle-20-off,1921,930,0.5159,106,7217.29
20250615,/lp/skincare-routine-quiz,1223,488,0.6010,37,2269.03
20250615,/products/vitamin-c-serum,823,358,0.5653,31,1900.90
20250615,/collections/bestsellers,566,221,0.6097,13,804.08
20250615,/,440,129,0.7075,6,380.84
20250616,/lp/free-serum-sample,2283,808,0.6461,74,4873.79
20250616,/lp/spf-bundle-20-off,2035,937,0.5398,106,6858.59
20250616,/lp/skincare-routine-quiz,1326,536,0.5958,40,2652.03
20250616,/products/vitamin-c-serum,832,362,0.5648,30,1937.69
20250616,/collections/bestsellers,615,220,0.6419,14,837.38
20250616,/,444,139,0.6878,6,384.73
20250617,/lp/free-serum-sample,2152,763,0.6456,74,4760.43
20250617,/lp/spf-bundle-20-off,1681,797,0.5258,95,6130.34
20250617,/lp/skincare-routine-quiz,1326,552,0.5839,39,2540.78
20250617,/products/vitamin-c-serum,866,366,0.5770,32,2053.72
20250617,/collections/bestsellers,568,206,0.6369,14,852.14
20250617,/,381,117,0.6942,5,319.03
20250618,/lp/free-serum-sample,2239,817,0.6350,73,4521.55
20250618,/lp/spf-bundle-20-off,1760,847,0.5185,92,5951.34
20250618,/lp/skincare-routine-quiz,1248,516,0.5864,40,2518.68
20250618,/products/vitamin-c-serum,880,389,0.5579,34,2251.20
20250618,/collections/bestsellers,592,211,0.6429,14,861.20
20250618,/,435,133,0.6948,6,381.93
20250619,/lp/free-serum-sample,2032,763,0.6243,63,3771.25
20250619,/lp/spf-bundle-20-off,1768,820,0.5362,101,6309.96
20250619,/lp/skincare-routine-quiz,1302,553,0.5756,41,2464.13
20250619,/products/vitamin-c-serum,801,353,0.5593,29,1759.86
20250619,/collections/bestsellers,560,206,0.6327,13,777.81
20250619,/,447,135,0.6991,6,370.09
20250620,/lp/free-serum-sample,1844,647,0.6491,62,3850.20
20250620,/lp/spf-bundle-20-off,1625,773,0.5243,87,5367.66
20250620,/lp/skincare-routine-quiz,1114,474,0.5748,35,2251.47
20250620,/products/vitamin-c-serum,841,376,0.5534,30,1781.47
20250620,/collections/bestsellers,527,199,0.6222,13,818.16
20250620,/,379,116,0.6943,5,313.98
20250621,/lp/free-serum-sample,1980,712,0.6404,61,3871.39
20250621,/lp/spf-bundle-20-off,1828,870,0.5242,106,6845.11
20250621,/lp/skincare-routine-quiz,1277,537,0.5795,40,2598.26
20250621,/products/vitamin-c-serum,825,355,0.5702,30,1830.18
20250621,/collections/bestsellers,603,221,0.6328,14,871.51
20250621,/,444,141,0.6820,6,355.16
20250622,/lp/free-serum-sample,1994,739,0.6295,64,3937.31
20250622,/lp/spf-bundle-20-off,1786,830,0.5354,93,5707.89
20250622,/lp/skincare-routine-quiz,1206,483,0.5997,35,2316.08
20250622,/products/vitamin-c-serum,779,339,0.5653,28,1803.26
20250622,/collections/bestsellers,522,194,0.6289,13,809.63
20250622,/,402,122,0.6961,5,304.10
20250623,/lp/free-serum-sample,1963,710,0.6382,67,4360.11
20250623,/lp/spf-bundle-20-off,1956,902,0.5387,108,6648.09
20250623,/lp/skincare-routine-quiz,1238,500,0.5959,37,2444.61
20250623,/products/vitamin-c-serum,858,383,0.5534,32,1906.04
20250623,/collections/bestsellers,579,227,0.6071,13,816.15
20250623,/,436,131,0.6984,6,370.44
20250624,/lp/free-serum-sample,1854,644,0.6526,57,3793.37
20250624,/lp/spf-bundle-20-off,1784,841,0.5288,103,6668.51
20250624,/lp/skincare-routine-quiz,1199,477,0.6020,37,2281.83
20250624,/products/vitamin-c-serum,742,317,0.5725,27,1671.60
20250624,/collections/bestsellers,519,186,0.6421,12,748.57
20250624,/,393,116,0.7050,5,312.60
20250625,/lp/free-serum-sample,2283,848,0.6286,74,4299.90
20250625,/lp/spf-bundle-20-off,1750,799,0.5436,95,6071.95
20250625,/lp/skincare-routine-quiz,1375,585,0.5744,40,2553.84
20250625,/products/vitamin-c-serum,841,375,0.5546,30,1767.40
20250625,/collections/bestsellers,614,220,0.6422,15,903.48
20250625,/,415,127,0.6946,6,353.79
20250626,/lp/free-serum-sample,2156,826,0.6171,74,4426.75
20250626,/lp/spf-bundle-20-off,1831,854,0.5334,98,6085.77
20250626,/lp/skincare-routine-quiz,1364,545,0.6007,43,2846.07
20250626,/products/vitamin-c-serum,898,402,0.5523,33,2133.03
20250626,/collections/bestsellers,528,207,0.6079,13,860.48
20250626,/,428,120,0.7194,5,317.80
20250627,/lp/free-serum-sample,2206,830,0.6239,69,4309.97
20250627,/lp/spf-bundle-20-off,2125,1031,0.5148,113,7627.75
20250627,/lp/skincare-routine-quiz,1336,547,0.5904,41,2605.17
20250627,/products/vitamin-c-serum,924,421,0.5447,34,2170.03
20250627,/collections/bestsellers,644,252,0.6090,16,1079.38
20250627,/,453,142,0.6860,6,382.88
20250628,/lp/free-serum-sample,2196,831,0.6217,71,4657.44
20250628,/lp/spf-bundle-20-off,1902,924,0.5140,110,7015.30
20250628,/lp/skincare-routine-quiz,1333,550,0.5873,41,2589.04
20250628,/products/vitamin-c-serum,860,372,0.5675,32,2009.51
20250628,/collections/bestsellers,577,224,0.6123,14,881.97
20250628,/,397,114,0.7120,5,316.88
20250629,/lp/free-serum-sample,1987,720,0.6378,69,4225.29
20250629,/lp/spf-bundle-20-off,1673,811,0.5151,87,5205.10
20250629,/lp/skincare-routine-quiz,1297,517,0.6014,41,2549.85
20250629,/products/vitamin-c-serum,833,376,0.5492,29,1903.91
20250629,/collections/bestsellers,541,210,0.6112,14,916.39
20250629,/,433,139,0.6790,6,395.51
20250630,/lp/free-serum-sample,2090,763,0.6351,67,4091.07
20250630,/lp/spf-bundle-20-off,1811,856,0.5273,105,6477.36
20250630,/lp/skincare-routine-quiz,1204,508,0.5778,35,2198.88
20250630,/products/vitamin-c-serum,816,347,0.5742,30,1818.34
20250630,/collections/bestsellers,537,194,0.6385,13,822.99
20250630,/,384,117,0.6951,5,319.80
20250701,/lp/free-serum-sample,2175,756,0.6524,69,4286.12
20250701,/lp/spf-bundle-20-off,1638,767,0.5318,95,5863.37
20250701,/lp/skincare-routine-quiz,1124,474,0.5781,33,2037.77
20250701,/products/vitamin-c-serum,793,339,0.5719,30,2035.74
20250701,/collections/bestsellers,515,200,0.6120,12,798.24
20250701,/,372,118,0.6828,5,338.88
20250702,/lp/free-serum-sample,2045,713,0.6512,67,4112.25
20250702,/lp/spf-bundle-20-off,1728,803,0.5355,90,5564.23
20250702,/lp/skincare-routine-quiz,1197,483,0.5961,38,2382.85
20250702,/products/vitamin-c-serum,798,354,0.5564,30,2011.56
20250702,/collections/bestsellers,552,217,0.6061,14,917.62
20250702,/,431,127,0.7047,6,395.22
20250703,/lp/free-serum-sample,2173,784,0.6394,75,4780.12
20250703,/lp/spf-bundle-20-off,1841,874,0.5254,96,6201.87
20250703,/lp/skincare-routine-quiz,1375,554,0.5968,42,2582.07
20250703,/products/vitamin-c-serum,801,349,0.5638,28,1755.52
20250703,/collections/bestsellers,594,234,0.6055,15,987.55
20250703,/,459,141,0.6928,6,394.51
20250704,/lp/free-serum-sample,2332,835,0.6419,77,5119.49
20250704,/lp/spf-bundle-20-off,1875,891,0.5249,110,6835.02
20250704,/lp/skincare-routine-quiz,1276,538,0.5784,41,2576.32
20250704,/products/vitamin-c-serum,941,400,0.5749,35,2138.27
20250704,/collections/bestsellers,567,203,0.6419,13,845.24
20250704,/,466,137,0.7070,6,371.65
20250705,/lp/free-serum-sample,2106,804,0.6184,70,4728.28
20250705,/lp/spf-bundle-20-off,1813,877,0.5161,99,6219.55
20250705,/lp/skincare-routine-quiz,1287,551,0.5718,41,2690.54
20250705,/products/vitamin-c-serum,825,378,0.5423,32,2147.11
20250705,/collections/bestsellers,516,201,0.6112,13,833.05
20250705,/,445,129,0.7094,6,392.41
20250706,/lp/free-serum-sample,2124,814,0.6169,67,4234.07
20250706,/lp/spf-bundle-20-off,1841,891,0.5158,97,5955.37
20250706,/lp/skincare-routine-quiz,1208,495,0.5904,38,2378.10
20250706,/products/vitamin-c-serum,881,375,0.5743,34,2038.58
20250706,/collections/bestsellers,557,220,0.6045,13,870.52
20250706,/,446,134,0.7006,6,387.57
20250707,/lp/free-serum-sample,1922,685,0.6436,63,3895.46
20250707,/lp/spf-bundle-20-off,1748,834,0.5227,100,5985.35
20250707,/lp/skincare-routine-quiz,1253,509,0.5938,41,2490.70
20250707,/products/vitamin-c-serum,795,343,0.5687,29,1843.75
20250707,/collections/bestsellers,502,196,0.6105,13,811.36
20250707,/,380,120,0.6850,5,297.46
20250708,/lp/free-serum-sample,1837,705,0.6162,60,3936.03
20250708,/lp/spf-bundle-20-off,1561,732,0.5311,83,5552.13
20250708,/lp/skincare-routine-quiz,1210,522,0.5686,38,2467.95
20250708,/products/vitamin-c-serum,736,321,0.5634,29,1953.24
20250708,/collections/bestsellers,498,190,0.6189,12,789.41
20250708,/,405,125,0.6907,5,307.85
20250709,/lp/free-serum-sample,2095,738,0.6477,67,4033.77
20250709,/lp/spf-bundle-20-off,1689,792,0.5312,98,6283.59
20250709,/lp/skincare-routine-quiz,1178,473,0.5985,35,2223.97
20250709,/products/vitamin-c-serum,838,362,0.5683,30,1889.29
20250709,/collections/bestsellers,530,207,0.6090,12,704.82
20250709,/,413,125,0.6985,6,381.97
20250710,/lp/free-serum-sample,1905,675,0.6458,65,4297.12
20250710,/lp/spf-bundle-20-off,1786,859,0.5190,95,6338.54
20250710,/lp/skincare-routine-quiz,1090,468,0.5702,35,2369.49
20250710,/products/vitamin-c-serum,771,335,0.5658,28,1867.26
20250710,/collections/bestsellers,484,186,0.6150,12,743.74
20250710,/,421,134,0.6808,5,322.58
20250711,/lp/free-serum-sample,2439,939,0.6149,81,5358.69
20250711,/lp/spf-bundle-20-off,2054,972,0.5269,111,7397.75
20250711,/lp/skincare-routine-quiz,1257,512,0.5928,39,2502.88
20250711,/products/vitamin-c-serum,837,365,0.5638,30,2027.39
20250711,/collections/bestsellers,625,232,0.6287,16,980.00
20250711,/,454,141,0.6890,6,362.64
20250712,/lp/free-serum-sample,1870,688,0.6322,66,3908.85
20250712,/lp/spf-bundle-20-off,1785,851,0.5232,99,6405.23
20250712,/lp/skincare-routine-quiz,1150,471,0.5906,35,2215.66
20250712,/products/vitamin-c-serum,804,345,0.5706,28,1784.74
20250712,/collections/bestsellers,578,223,0.6137,14,892.32
20250712,/,388,114,0.7064,5,298.64
20250713,/lp/free-serum-sample,1983,703,0.6453,69,4197.39
20250713,/lp/spf-bundle-20-off,1728,846,0.5102,98,5826.76
20250713,/lp/skincare-routine-quiz,1143,485,0.5755,35,2247.25
20250713,/products/vitamin-c-serum,820,374,0.5442,31,1993.82
20250713,/collections/bestsellers,584,217,0.6286,13,784.76
20250713,/,435,133,0.6937,6,382.87
20250714,/lp/free-serum-sample,1915,716,0.6263,66,4313.19
20250714,/lp/spf-bundle-20-off,1863,882,0.5267,107,7180.97
20250714,/lp/skincare-routine-quiz,1242,511,0.5885,41,2714.65
20250714,/products/vitamin-c-serum,819,364,0.5554,30,1882.59
20250714,/collections/bestsellers,509,193,0.6215,12,726.00
20250714,/,429,128,0.7013,5,336.71
20250715,/lp/free-serum-sample,2054,748,0.6358,66,4179.87
20250715,/lp/spf-bundle-20-off,1786,877,0.5089,98,6443.06
20250715,/lp/skincare-routine-quiz,1205,495,0.5890,37,2410.30
20250715,/products/vitamin-c-serum,871,382,0.5609,33,2231.80
20250715,/collections/bestsellers,527,207,0.6069,13,864.71
20250715,/,414,117,0.7165,6,403.46
20250716,/lp/free-serum-sample,2090,762,0.6352,72,4386.76
20250716,/lp/spf-bundle-20-off,1951,942,0.5174,107,6395.60
20250716,/lp/skincare-routine-quiz,1369,562,0.5897,43,2612.65
20250716,/products/vitamin-c-serum,926,405,0.5631,32,2081.39
20250716,/collections/bestsellers,633,237,0.6249,16,1002.92
20250716,/,448,133,0.7038,6,351.41
20250717,/lp/free-serum-sample,2161,771,0.6433,76,4544.10
20250717,/lp/spf-bundle-20-off,2011,945,0.5303,118,7114.93
20250717,/lp/skincare-routine-quiz,1263,532,0.5787,40,2445.76
20250717,/products/vitamin-c-serum,888,399,0.5504,34,2120.98
20250717,/collections/bestsellers,560,218,0.6105,13,804.44
20250717,/,449,145,0.6770,6,400.37
20250718,/lp/free-serum-sample,2300,855,0.6282,79,4955.50
20250718,/lp/spf-bundle-20-off,1946,900,0.5374,110,7209.11
20250718,/lp/skincare-routine-quiz,1373,558,0.5937,41,2716.87
20250718,/products/vitamin-c-serum,838,361,0.5695,32,1995.78
20250718,/collections/bestsellers,562,210,0.6270,14,827.45
20250718,/,466,145,0.6884,6,356.72
20250719,/lp/free-serum-sample,2180,816,0.6259,75,4583.96
20250719,/lp/spf-bundle-20-off,1991,939,0.5284,116,7014.15
20250719,/lp/skincare-routine-quiz,1478,646,0.5630,47,2852.85
20250719,/products/vitamin-c-serum,909,405,0.5546,34,2050.20
20250719,/collections/bestsellers,591,214,0.6378,14,847.88
20250719,/,484,138,0.7154,6,361.87
20250720,/lp/free-serum-sample,2099,809,0.6148,66,3925.95
20250720,/lp/spf-bundle-20-off,1817,853,0.5308,98,5858.44
20250720,/lp/skincare-routine-quiz,1258,549,0.5635,38,2310.51
20250720,/products/vitamin-c-serum,882,406,0.5392,32,1949.09
20250720,/collections/bestsellers,551,211,0.6176,13,858.34
20250720,/,447,133,0.7026,6,388.05
20250721,/lp/free-serum-sample,2274,832,0.6343,72,4677.18
20250721,/lp/spf-bundle-20-off,1811,839,0.5369,105,6539.73
20250721,/lp/skincare-routine-quiz,1331,549,0.5874,44,2783.87
20250721,/products/vitamin-c-serum,841,365,0.5660,30,1874.10
20250721,/collections/bestsellers,562,213,0.6213,13,857.87
20250721,/,415,133,0.6789,6,397.87
20250722,/lp/free-serum-sample,1957,703,0.6406,69,4633.51
20250722,/lp/spf-bundle-20-off,1857,912,0.5090,108,6807.15
20250722,/lp/skincare-routine-quiz,1198,522,0.5642,39,2424.59
20250722,/products/vitamin-c-serum,783,356,0.5458,30,1915.64
20250722,/collections/bestsellers,564,222,0.6072,14,953.01
20250722,/,406,132,0.6761,6,416.06
20250723,/lp/free-serum-sample,2161,832,0.6148,69,4434.49
20250723,/lp/spf-bundle-20-off,1856,910,0.5095,108,6620.54
20250723,/lp/skincare-routine-quiz,1390,605,0.5650,45,2977.83
20250723,/products/vitamin-c-serum,927,428,0.5385,32,1923.97
20250723,/collections/bestsellers,627,235,0.6255,15,979.32
20250723,/,443,142,0.6802,6,386.77
20250724,/lp/free-serum-sample,2238,839,0.6253,79,5052.98
20250724,/lp/spf-bundle-20-off,2030,957,0.5288,112,6780.67
20250724,/lp/skincare-routine-quiz,1263,549,0.5655,41,2457.42
20250724,/products/vitamin-c-serum,921,423,0.5410,35,2242.38
20250724,/collections/bestsellers,594,221,0.6278,14,903.97
20250724,/,431,128,0.7040,6,392.68
20250725,/lp/free-serum-sample,1975,715,0.6378,71,4469.81
20250725,/lp/spf-bundle-20-off,1930,931,0.5177,103,6742.49
20250725,/lp/skincare-routine-quiz,1217,512,0.5791,37,2413.74
20250725,/products/vitamin-c-serum,871,384,0.5589,34,2105.34
20250725,/collections/bestsellers,525,206,0.6082,13,846.17
20250725,/,436,133,0.6959,6,407.03
20250726,/lp/free-serum-sample,2283,818,0.6418,74,4680.35
20250726,/lp/spf-bundle-20-off,1888,880,0.5339,106,6325.12
20250726,/lp/skincare-routine-quiz,1342,559,0.5834,40,2580.89
20250726,/products/vitamin-c-serum,951,414,0.5642,37,2296.13
20250726,/collections/bestsellers,624,230,0.6314,16,992.61
20250726,/,432,128,0.7037,6,377.88
20250727,/lp/free-serum-sample,2241,830,0.6298,74,4679.22
20250727,/lp/spf-bundle-20-off,1687,813,0.5180,98,5800.53
20250727,/lp/skincare-routine-quiz,1163,489,0.5797,38,2498.90
20250727,/products/vitamin-c-serum,827,368,0.5548,29,1867.38
20250727,/collections/bestsellers,557,206,0.6306,14,875.75
20250727,/,427,125,0.7070,6,378.28
20250728,/lp/free-serum-sample,2429,892,0.6328,81,5331.28
20250728,/lp/spf-bundle-20-off,1874,927,0.5051,110,6759.60
20250728,/lp/skincare-routine-quiz,1301,557,0.5722,43,2753.32
20250728,/products/vitamin-c-serum,874,393,0.5509,31,2004.32
20250728,/collections/bestsellers,619,225,0.6373,16,1082.05
20250728,/,433,130,0.7005,6,369.02
20250729,/lp/free-serum-sample,2236,865,0.6131,77,5136.41
20250729,/lp/spf-bundle-20-off,1845,887,0.5191,100,6512.33
20250729,/lp/skincare-routine-quiz,1424,617,0.5670,44,2853.13
20250729,/products/vitamin-c-serum,870,384,0.5588,33,2123.55
20250729,/collections/bestsellers,582,219,0.6239,14,895.19
20250729,/,487,140,0.7132,7,449.85
20250730,/lp/free-serum-sample,2223,836,0.6238,78,4918.26
20250730,/lp/spf-bundle-20-off,1923,920,0.5217,111,6861.94
20250730,/lp/skincare-routine-quiz,1309,550,0.5801,43,2664.16
20250730,/products/vitamin-c-serum,849,370,0.5640,33,2174.81
20250730,/collections/bestsellers,526,196,0.6270,13,819.08
20250730,/,441,131,0.7023,6,392.02
20250731,/lp/free-serum-sample,1859,714,0.6160,66,4450.45
20250731,/lp/spf-bundle-20-off,1659,822,0.5044,90,6091.79
20250731,/lp/skincare-routine-quiz,1170,489,0.5819,35,2213.52
20250731,/products/vitamin-c-serum,789,342,0.5662,29,1754.40
20250731,/collections/bestsellers,543,197,0.6363,13,875.73
20250731,/,386,120,0.6891,5,322.56
20250801,/lp/free-serum-sample,2054,797,0.6118,66,4042.01
20250801,/lp/spf-bundle-20-off,1797,844,0.5305,97,6479.96
20250801,/lp/skincare-routine-quiz,1250,531,0.5751,40,2659.87
20250801,/products/vitamin-c-serum,858,388,0.5474,33,2259.59
20250801,/collections/bestsellers,632,231,0.6349,15,1026.99
20250801,/,435,133,0.6937,6,376.82
20250802,/lp/free-serum-sample,2182,840,0.6150,77,5168.55
20250802,/lp/spf-bundle-20-off,1978,955,0.5174,115,7106.66
20250802,/lp/skincare-routine-quiz,1257,513,0.5917,40,2669.39
20250802,/products/vitamin-c-serum,856,395,0.5380,34,2097.54
20250802,/collections/bestsellers,520,201,0.6137,13,866.23
20250802,/,394,125,0.6816,5,313.57
20250803,/lp/free-serum-sample,2196,785,0.6425,75,4979.10
20250803,/lp/spf-bundle-20-off,2040,955,0.5318,113,7577.80
20250803,/lp/skincare-routine-quiz,1222,502,0.5893,39,2386.13
20250803,/products/vitamin-c-serum,809,371,0.5411,31,2003.63
20250803,/collections/bestsellers,543,208,0.6162,13,865.31
20250803,/,472,153,0.6756,7,467.63
20250804,/lp/free-serum-sample,2174,782,0.6403,71,4344.31
20250804,/lp/spf-bundle-20-off,1778,874,0.5087,106,7146.53
20250804,/lp/skincare-routine-quiz,1283,544,0.5757,39,2640.58
20250804,/products/vitamin-c-serum,779,345,0.5577,30,2035.59
20250804,/collections/bestsellers,558,206,0.6300,14,899.15
20250804,/,406,121,0.7031,5,303.20
20250805,/lp/free-serum-sample,1747,645,0.6306,60,3917.78
20250805,/lp/spf-bundle-20-off,1754,866,0.5062,100,6440.51
20250805,/lp/skincare-routine-quiz,1094,477,0.5638,35,2225.45
20250805,/products/vitamin-c-serum,735,332,0.5484,26,1573.50
20250805,/collections/bestsellers,470,183,0.6112,12,775.31
20250805,/,385,114,0.7032,6,357.73
20250806,/lp/free-serum-sample,2197,864,0.6069,72,4360.22
20250806,/lp/spf-bundle-20-off,1946,937,0.5186,104,6635.33
20250806,/lp/skincare-routine-quiz,1159,489,0.5782,39,2497.55
20250806,/products/vitamin-c-serum,774,336,0.5660,30,1841.76
20250806,/collections/bestsellers,535,214,0.5998,13,848.61
20250806,/,415,124,0.7001,6,398.89
20250807,/lp/free-serum-sample,2047,782,0.6182,74,4687.55
20250807,/lp/spf-bundle-20-off,1744,863,0.5050,97,5932.14
20250807,/lp/skincare-routine-quiz,1256,537,0.5721,42,2598.30
20250807,/products/vitamin-c-serum,811,360,0.5566,29,1747.63
20250807,/collections/bestsellers,524,204,0.6113,13,778.23
20250807,/,415,133,0.6785,6,397.22
20250808,/lp/free-serum-sample,1974,723,0.6339,66,3974.83
20250808,/lp/spf-bundle-20-off,1820,892,0.5098,102,6189.75
20250808,/lp/skincare-routine-quiz,1245,541,0.5657,38,2361.13
20250808,/products/vitamin-c-serum,829,363,0.5624,33,2002.71
20250808,/collections/bestsellers,546,201,0.6327,14,933.10
20250808,/,388,111,0.7131,5,333.55
20250809,/lp/free-serum-sample,2416,916,0.6207,83,5607.38
20250809,/lp/spf-bundle-20-off,2112,994,0.5294,126,8216.74
20250809,/lp/skincare-routine-quiz,1355,572,0.5779,46,2839.54
20250809,/products/vitamin-c-serum,896,394,0.5606,33,2179.84
20250809,/collections/bestsellers,654,256,0.6091,15,968.21
20250809,/,436,132,0.6968,6,408.10
20250810,/lp/free-serum-sample,1976,776,0.6074,65,4146.40
20250810,/lp/spf-bundle-20-off,1824,904,0.5046,106,6586.01
20250810,/lp/skincare-routine-quiz,1223,521,0.5742,37,2449.76
20250810,/products/vitamin-c-serum,855,371,0.5661,32,1905.25
20250810,/collections/bestsellers,524,205,0.6091,13,830.68
20250810,/,390,127,0.6754,5,314.10
20250811,/lp/free-serum-sample,2328,835,0.6413,84,5797.13
20250811,/lp/spf-bundle-20-off,1877,934,0.5026,112,7618.61
20250811,/lp/skincare-routine-quiz,1481,624,0.5789,50,3156.91
20250811,/products/vitamin-c-serum,986,429,0.5652,38,2386.87
20250811,/collections/bestsellers,600,221,0.6310,16,1115.12
20250811,/,434,138,0.6828,6,408.28
20250812,/lp/free-serum-sample,2200,823,0.6257,78,4693.29
20250812,/lp/spf-bundle-20-off,1823,870,0.5226,99,6451.83
20250812,/lp/skincare-routine-quiz,1293,574,0.5559,42,2720.73
20250812,/products/vitamin-c-serum,809,354,0.5619,32,2094.07
20250812,/collections/bestsellers,559,211,0.6220,13,864.74
20250812,/,407,118,0.7098,5,327.57
20250813,/lp/free-serum-sample,2281,869,0.6191,80,4864.00
20250813,/lp/spf-bundle-20-off,1885,916,0.5139,113,6992.95
20250813,/lp/skincare-routine-quiz,1383,586,0.5761,46,3057.11
20250813,/products/vitamin-c-serum,910,401,0.5598,32,2036.87
20250813,/collections/bestsellers,536,215,0.5993,13,871.21
20250813,/,406,128,0.6838,5,332.53
20250814,/lp/free-serum-sample,1788,690,0.6140,62,4111.24
20250814,/lp/spf-bundle-20-off,1713,803,0.5310,102,6411.48
20250814,/lp/skincare-routine-quiz,1135,488,0.5702,37,2426.94
20250814,/products/vitamin-c-serum,813,370,0.5453,31,2049.13
20250814,/collections/bestsellers,509,188,0.6299,13,878.39
20250814,/,398,117,0.7053,6,398.30
20250815,/lp/free-serum-sample,2007,758,0.6221,69,4552.28
20250815,/lp/spf-bundle-20-off,1716,829,0.5167,98,6112.41
20250815,/lp/skincare-routine-quiz,1164,498,0.5722,39,2605.12
20250815,/products/vitamin-c-serum,787,349,0.5564,30,1973.82
20250815,/collections/bestsellers,518,205,0.6050,12,796.29
20250815,/,382,123,0.6787,5,317.85
20250816,/lp/free-serum-sample,2498,942,0.6227,90,6076.36
20250816,/lp/spf-bundle-20-off,1931,932,0.5172,104,6654.69
20250816,/lp/skincare-routine-quiz,1496,655,0.5619,51,3342.36
20250816,/products/vitamin-c-serum,874,388,0.5559,35,2184.89
20250816,/collections/bestsellers,661,256,0.6127,17,1090.67
20250816,/,464,136,0.7062,6,396.56
20250817,/lp/free-serum-sample,2332,892,0.6174,79,5148.05
20250817,/lp/spf-bundle-20-off,1988,981,0.5067,107,6703.13
20250817,/lp/skincare-routine-quiz,1397,587,0.5797,44,2949.01
20250817,/products/vitamin-c-serum,903,399,0.5579,35,2289.74
20250817,/collections/bestsellers,633,233,0.6314,16,1080.79
20250817,/,444,130,0.7075,6,389.87
20250818,/lp/free-serum-sample,2110,799,0.6212,75,4606.91
20250818,/lp/spf-bundle-20-off,1989,960,0.5174,111,7267.28
20250818,/lp/skincare-routine-quiz,1438,638,0.5565,46,2806.73
20250818,/products/vitamin-c-serum,915,413,0.5489,35,2215.97
20250818,/collections/bestsellers,599,219,0.6336,15,916.54
20250818,/,433,139,0.6785,6,384.10
20250819,/lp/free-serum-sample,2076,794,0.6177,73,4636.73
20250819,/lp/spf-bundle-20-off,1756,837,0.5232,97,6110.90
20250819,/lp/skincare-routine-quiz,1264,552,0.5632,39,2537.56
20250819,/products/vitamin-c-serum,759,345,0.5452,30,1816.71
20250819,/collections/bestsellers,497,197,0.6027,13,792.61
20250819,/,374,121,0.6752,5,332.84
20250820,/lp/free-serum-sample,1997,734,0.6326,72,4336.46
20250820,/lp/spf-bundle-20-off,1694,804,0.5256,94,5599.44
20250820,/lp/skincare-routine-quiz,1221,524,0.5707,39,2471.53
20250820,/products/vitamin-c-serum,809,376,0.5357,30,1817.09
20250820,/collections/bestsellers,546,213,0.6092,13,812.90
20250820,/,414,132,0.6818,6,399.83
20250821,/lp/free-serum-sample,1910,728,0.6186,67,4354.39
20250821,/lp/spf-bundle-20-off,1820,887,0.5126,109,7177.44
20250821,/lp/skincare-routine-quiz,1196,495,0.5864,41,2781.54
20250821,/products/vitamin-c-serum,811,357,0.5599,31,1932.28
20250821,/collections/bestsellers,577,218,0.6226,14,927.72
20250821,/,426,132,0.6894,6,386.12
20250822,/lp/free-serum-sample,2152,782,0.6366,74,4479.86
20250822,/lp/spf-bundle-20-off,1859,898,0.5172,107,6531.02
20250822,/lp/skincare-routine-quiz,1441,608,0.5781,45,3005.96
20250822,/products/vitamin-c-serum,977,448,0.5410,37,2426.93
20250822,/collections/bestsellers,577,229,0.6034,15,981.62
20250822,/,459,148,0.6768,6,377.80
20250823,/lp/free-serum-sample,2222,848,0.6182,77,5101.04
20250823,/lp/spf-bundle-20-off,1889,897,0.5254,102,6956.81
20250823,/lp/skincare-routine-quiz,1142,485,0.5751,39,2671.20
20250823,/products/vitamin-c-serum,869,391,0.5506,31,2107.96
20250823,/collections/bestsellers,562,209,0.6275,14,960.51
20250823,/,436,140,0.6788,6,392.26
20250824,/lp/free-serum-sample,1867,691,0.6298,67,4325.36
20250824,/lp/spf-bundle-20-off,1740,840,0.5173,104,6788.56
20250824,/lp/skincare-routine-quiz,1169,490,0.5807,39,2543.37
20250824,/products/vitamin-c-serum,783,363,0.5365,28,1755.06
20250824,/collections/bestsellers,523,207,0.6038,14,900.04
20250824,/,428,135,0.6855,6,371.39
20250825,/lp/free-serum-sample,2107,816,0.6127,75,4692.70
20250825,/lp/spf-bundle-20-off,1794,888,0.5048,104,6689.94
20250825,/lp/skincare-routine-quiz,1380,590,0.5725,45,2884.01
20250825,/products/vitamin-c-serum,882,388,0.5596,32,2202.53
20250825,/collections/bestsellers,575,229,0.6026,15,933.56
20250825,/,414,136,0.6713,6,399.52
20250826,/lp/free-serum-sample,2150,845,0.6072,71,4641.31
